# date:Sat Dec 04 10:46:34 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:2.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
140,1.6718717600038323E8,0,0.0,229,1.7038111122551115E9
138,1.6803340513596755E8,0,0.0,226,1.699718279772359E9
141,1.6734601229122376E8,0,0.0,228,1.6735710636955516E9
139,1.6525155204006365E8,0,0.0,223,1.6020853419660053E9
136,1.6379221105882394E8,0,0.0,220,1.5955066779868166E9
134,1.635097553512552E8,0,0.0,215,1.565521777767127E9
132,1.6351586372492385E8,0,0.0,212,1.5294287581758566E9
135,1.6576797111491036E8,0,0.0,216,1.5450320299486704E9
133,1.6179721113466582E8,0,0.0,214,1.5332639831472974E9
135,1.64025529367007E8,0,0.0,215,1.5226447277416701E9
133,1.5959959267815498E8,0,0.0,213,1.534399352259118E9
132,1.6046760828176847E8,0,0.0,209,1.535357571119865E9
131,1.6200893880806825E8,0,0.0,206,1.5421978626568701E9
130,1.6096070625029266E8,0,0.0,201,1.5157956448718908E9
133,1.6241992773167074E8,0,0.0,202,1.4982643074102578E9
134,1.6448430817465517E8,0,0.0,202,1.450377852098367E9
131,1.5881775073160657E8,0,0.0,202,1.4619976913586762E9
134,1.6109994818177631E8,0,0.0,204,1.4606684998071842E9
133,1.6202752393558404E8,0,0.0,202,1.4723793179703836E9
131,1.5886056408593598E8,0,0.0,199,1.4814004388758566E9
129,1.599987654022529E8,0,0.0,195,1.4731962901172066E9
127,1.5737527391023996E8,0,0.0,191,1.4337090885116658E9
126,1.5760008328309092E8,0,0.0,189,1.4407604453506079E9
130,1.537490124354439E8,0,0.0,188,1.438449033655211E9
134,1.5529204453156903E8,0,0.0,189,1.448584873769179E9
136,1.548352116946483E8,0,0.0,190,1.4443680125137699E9
132,1.530356855159793E8,0,0.0,189,1.4531324626726425E9
131,1.461245508899045E8,0,0.0,192,1.440772498531082E9
134,1.4802228590570715E8,0,0.0,191,1.3883287520967321E9
138,1.4944357461071134E8,0,0.0,191,1.3682379490954232E9
137,1.506668028378962E8,0,0.0,191,1.379765044910488E9
135,1.4882077024624532E8,0,0.0,187,1.3883443974747622E9
133,1.4911999631061873E8,0,0.0,185,1.3915892216021204E9
133,1.5043087325589192E8,0,0.0,182,1.3649412519580297E9
133,1.520548349385639E8,0,0.0,180,1.33516166010189E9
132,1.4994963067006686E8,0,0.0,175,1.2510118025357616E9
