# date:Sat Dec 04 10:52:09 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:5.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
1203,5.417929069617323E8,0,2.384185791015625E-7,1649,2.8632813757305493E9
1192,5.456686142346681E8,0,2.384185791015625E-7,1634,2.8746576924932914E9
1176,5.488895298142655E8,0,2.384185791015625E-7,1618,2.906870884528615E9
1155,5.479023087569742E8,0,2.384185791015625E-7,1595,2.9302518863781047E9
1200,5.501515636890112E8,0,2.384185791015625E-7,1660,2.961656699895034E9
1189,5.584597722697102E8,0,2.384185791015625E-7,1638,2.99494054926103E9
1177,5.590685789253243E8,0,2.384185791015625E-7,1624,3.0326871194067154E9
1171,5.63661121391075E8,0,2.384185791015625E-7,1607,3.0498897222909727E9
1157,5.662841565020365E8,0,2.384185791015625E-7,1578,3.044120675286384E9
1148,5.704972309184135E8,0,2.384185791015625E-7,1546,2.9758570657894487E9
1190,5.748764487890477E8,0,2.384185791015625E-7,1598,2.93220291029733E9
1177,5.791637538666488E8,0,2.384185791015625E-7,1575,2.914953521860172E9
1164,5.765143027744583E8,0,2.384185791015625E-7,1546,2.857426418726689E9
1153,5.779209337102197E8,0,2.384185791015625E-7,1527,2.8156120770248322E9
1143,5.830880598668482E8,0,2.384185791015625E-7,1507,2.7941278712004175E9
1130,5.798659460212511E8,0,2.384185791015625E-7,1487,2.8015427623736835E9
1121,5.744486922901038E8,0,2.384185791015625E-7,1465,2.8016123274008255E9
1165,5.829642680877284E8,0,2.384185791015625E-7,1519,2.841283544283472E9
1154,5.879433640274941E8,0,2.384185791015625E-7,1494,2.8344563116676264E9
1143,5.921544060058379E8,0,2.384185791015625E-7,1474,2.8733911907608366E9
1126,5.93851189910154E8,0,2.384185791015625E-7,1451,2.862261308260728E9
1114,5.949100789770126E8,0,2.384185791015625E-7,1434,2.839456478692357E9
1146,5.997630731236132E8,0,2.384185791015625E-7,1496,2.8759001440724435E9
1199,6.041139303858572E8,0,2.384185791015625E-7,1531,2.875860937081448E9
1248,6.065085343573512E8,0,2.384185791015625E-7,1581,2.85843687549071E9
1233,6.135333404379584E8,0,2.384185791015625E-7,1553,2.778197460612477E9
1217,6.086293803541069E8,0,2.384185791015625E-7,1528,2.7821036045680594E9
1201,6.086997398916266E8,0,2.384185791015625E-7,1510,2.820344998774479E9
1260,6.142694893146523E8,0,2.384185791015625E-7,1555,2.789653225154715E9
1251,6.182286310232139E8,0,2.384185791015625E-7,1532,2.794643248802419E9
1236,6.160411269243573E8,0,2.384185791015625E-7,1512,2.8015832576173534E9
1221,6.206522792014815E8,0,2.384185791015625E-7,1494,2.8141296489521527E9
1205,6.264346900552475E8,0,2.384185791015625E-7,1466,2.7668312406117454E9
1247,6.264791303283079E8,0,2.384185791015625E-7,1525,2.760031880054115E9
1235,6.328712229514716E8,0,2.384185791015625E-7,1510,2.792480646519265E9
1218,6.419315805320753E8,0,2.384185791015625E-7,1497,2.8253858647770514E9
1200,6.418510450408926E8,0,2.384185791015625E-7,1473,2.793100140644366E9
1241,6.386335859084411E8,0,2.384185791015625E-7,1539,2.7748290013738704E9
1227,6.403004411151668E8,0,2.384185791015625E-7,1515,2.7860692358658857E9
1280,6.454770966988559E8,0,2.384185791015625E-7,1572,2.7936988195003915E9
1267,6.487826706149845E8,0,2.384185791015625E-7,1550,2.7583144131834307E9
1253,6.518876941826539E8,0,2.384185791015625E-7,1530,2.7937003647922316E9
1303,6.521770212067485E8,0,2.384185791015625E-7,1583,2.781648409292967E9
1365,6.515537999916035E8,0,2.384185791015625E-7,1642,2.814806280906446E9
1352,6.572167571457587E8,0,2.384185791015625E-7,1622,2.7973810059618597E9
1408,6.509783991490854E8,0,2.384185791015625E-7,1678,2.7888770467283683E9
1470,6.546358420244995E8,0,2.384185791015625E-7,1731,2.807624559517224E9
1457,6.583617517488158E8,0,2.384185791015625E-7,1704,2.793944377151719E9
1442,6.625780896718588E8,0,2.384185791015625E-7,1692,2.821796304072926E9
