# date:Sat Dec 04 10:45:06 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (cm^3),Fir (count),Fir volume (cm^3),Beech (count),Beech volume (cm^3)
542,3.29644363094486E8,0,1.632142812013626E-7,856,2.3382598417438335E9
534,3.2663218643300223E8,0,1.632142812013626E-7,845,2.306516971716366E9
527,3.260438789942113E8,0,1.632142812013626E-7,833,2.3107690653150687E9
524,3.3095960644464016E8,0,1.632142812013626E-7,822,2.335684414724466E9
529,3.338801281114969E8,0,1.632142812013626E-7,830,2.348232026993245E9
524,3.3745074305729747E8,0,1.632142812013626E-7,817,2.350034849703518E9
525,3.3936519433603036E8,0,1.632142812013626E-7,824,2.347785895918986E9
525,3.4259049925005347E8,0,1.632142812013626E-7,839,2.3461933661400433E9
531,3.45786386008712E8,0,1.632142812013626E-7,844,2.374381407591021E9
527,3.492582838236346E8,0,1.632142812013626E-7,834,2.34256612407662E9
522,3.494045839216476E8,0,1.632142812013626E-7,821,2.3444903688942337E9
515,3.496521251843809E8,0,1.632142812013626E-7,809,2.3454501518261824E9
521,3.4351779240543914E8,0,1.632142812013626E-7,805,2.294068588522085E9
533,3.437707510055744E8,0,1.632142812013626E-7,806,2.2778014147957325E9
527,3.4286486342896193E8,0,1.632142812013626E-7,796,2.2465687541067953E9
533,3.463851536220451E8,0,1.632142812013626E-7,799,2.2391959532669044E9
529,3.4975122656242114E8,0,1.632142812013626E-7,790,2.2573369682032833E9
523,3.5243927126875156E8,0,1.632142812013626E-7,777,2.282584637932159E9
530,3.5670250012027913E8,0,1.632142812013626E-7,781,2.2714889886269174E9
525,3.559125375418199E8,0,1.632142812013626E-7,777,2.30535309486127E9
521,3.595859615787374E8,0,1.632142812013626E-7,765,2.256089257804873E9
514,3.6145739253840995E8,0,1.632142812013626E-7,754,2.275045668465067E9
523,3.5884586588079613E8,0,1.632142812013626E-7,756,2.2609370105360055E9
521,3.611408258906405E8,0,1.632142812013626E-7,737,2.205238615175992E9
518,3.6600600107585317E8,0,1.632142812013626E-7,727,2.187005490315156E9
524,3.6953217069719553E8,0,1.632142812013626E-7,735,2.215422852420842E9
520,3.706881304477956E8,0,1.632142812013626E-7,728,2.246225451597737E9
528,3.728673268206632E8,0,1.632142812013626E-7,729,2.228128404713159E9
522,3.740398552775925E8,0,1.632142812013626E-7,719,2.2371630478193774E9
525,3.753445532532415E8,0,1.632142812013626E-7,733,2.238964924412583E9
529,3.7270136903614587E8,0,1.632142812013626E-7,738,2.24439196356568E9
530,3.6605759873704493E8,0,1.632142812013626E-7,741,2.2503819777774963E9
524,3.679541429501011E8,0,1.632142812013626E-7,730,2.2261794162894406E9
530,3.692206575147568E8,0,1.632142812013626E-7,735,2.1937472523470387E9
523,3.6797494126965433E8,0,1.632142812013626E-7,729,2.203169938532716E9
520,3.6935270241754025E8,0,1.632142812013626E-7,717,2.1436281445329592E9
524,3.684019786019473E8,0,1.632142812013626E-7,718,2.1410517087429643E9
518,3.7195046682968163E8,0,1.632142812013626E-7,705,2.1298093271662953E9
513,3.716495354534293E8,0,1.632142812013626E-7,697,2.1535437001389995E9
508,3.7509719672697896E8,0,1.632142812013626E-7,687,2.1776532095252604E9
501,3.756945896305343E8,0,1.632142812013626E-7,682,2.2098207882746124E9
499,3.7202973378145456E8,0,1.632142812013626E-7,689,2.1890472273479857E9
494,3.713741190586232E8,0,1.632142812013626E-7,684,2.2147088550919046E9
488,3.7562840887829953E8,0,1.632142812013626E-7,680,2.2475777230300803E9
496,3.8080905285511637E8,0,1.632142812013626E-7,684,2.261403907099947E9
488,3.822707667241145E8,0,1.632142812013626E-7,678,2.2866275078709116E9
484,3.850980662259517E8,0,1.632142812013626E-7,669,2.2896055000158987E9
486,3.8042643161684257E8,0,1.632142812013626E-7,666,2.2581264700714397E9
488,3.816542972986654E8,0,1.632142812013626E-7,673,2.2662535748394156E9
482,3.8167542197213346E8,0,1.632142812013626E-7,663,2.265308018261454E9
488,3.8188064958370423E8,0,1.632142812013626E-7,668,2.2058275542497115E9
481,3.781721683754469E8,0,1.632142812013626E-7,658,2.197608125921448E9
485,3.762314778981629E8,0,1.632142812013626E-7,663,2.2245349005716896E9
485,3.771761453382373E8,0,1.632142812013626E-7,668,2.248766413845384E9
478,3.767849925987023E8,0,1.632142812013626E-7,661,2.2526566782856216E9
473,3.763355130839687E8,0,1.632142812013626E-7,649,2.235429408728197E9
467,3.7519759897275925E8,0,1.632142812013626E-7,639,2.2268169575720754E9
461,3.780652906383185E8,0,1.632142812013626E-7,628,2.231752931225182E9
455,3.723777038834776E8,0,1.632142812013626E-7,624,2.224897887249067E9
451,3.7098396683677655E8,0,1.632142812013626E-7,615,2.2243581177234216E9
445,3.708490219627994E8,0,1.632142812013626E-7,604,2.1892582443515005E9
444,3.748580405137186E8,0,1.632142812013626E-7,594,2.218150393197255E9
438,3.74081054951013E8,0,1.632142812013626E-7,587,2.226926871182432E9
436,3.777372256571549E8,0,1.632142812013626E-7,580,2.2278311715618644E9
428,3.7898361176774335E8,0,1.632142812013626E-7,571,2.2303554681532745E9
427,3.837776372379053E8,0,1.632142812013626E-7,561,2.188031058351835E9
422,3.869372134119192E8,0,1.632142812013626E-7,552,2.167425618452381E9
415,3.8333953815872335E8,0,1.632142812013626E-7,546,2.168428963855472E9
411,3.798100213151574E8,0,1.632142812013626E-7,543,2.1941188867619996E9
414,3.8100356404969084E8,0,1.632142812013626E-7,553,2.2138027594842606E9
410,3.7890545080758125E8,0,1.632142812013626E-7,540,2.1868146406330137E9
405,3.781201753423608E8,0,1.632142812013626E-7,534,2.1974479027590675E9
401,3.785938170556388E8,0,1.632142812013626E-7,527,2.224656455922854E9
396,3.7713736885163444E8,0,1.632142812013626E-7,523,2.252387362542447E9
390,3.7557906912802094E8,0,1.632142812013626E-7,518,2.2758843694556856E9
388,3.755835433395554E8,0,1.632142812013626E-7,524,2.249045776930159E9
385,3.7740694332973385E8,0,1.632142812013626E-7,515,2.267521124931155E9
383,3.7663626330819786E8,0,1.632142812013626E-7,509,2.241332330900957E9
379,3.7322483531287813E8,0,1.632142812013626E-7,500,2.22932921437552E9
380,3.698171679693491E8,0,1.632142812013626E-7,503,2.2330409948376627E9
377,3.69078369397595E8,0,1.632142812013626E-7,493,2.2382333496363826E9
375,3.7242187753510636E8,0,1.632142812013626E-7,486,2.2164428664994254E9
371,3.741233637720276E8,0,1.632142812013626E-7,480,2.2233558693309364E9
367,3.725693125604553E8,0,1.632142812013626E-7,473,2.215950533477869E9
371,3.683376963372431E8,0,1.632142812013626E-7,482,2.2431779607494774E9
366,3.6513482860640264E8,0,1.632142812013626E-7,474,2.2508510582580395E9
363,3.673174730955329E8,0,1.632142812013626E-7,465,2.254660473312748E9
358,3.6841691795397943E8,0,1.632142812013626E-7,459,2.2580940940444655E9
355,3.7058765914302933E8,0,1.632142812013626E-7,456,2.2560354397560005E9
358,3.730163652103611E8,0,1.632142812013626E-7,462,2.250541911716619E9
362,3.7399800901661855E8,0,1.632142812013626E-7,465,2.242570333638713E9
356,3.7034501250949377E8,0,1.632142812013626E-7,460,2.2415928380972023E9
350,3.713429230027395E8,0,1.632142812013626E-7,456,2.246338975846732E9
346,3.707286126571304E8,0,1.632142812013626E-7,451,2.2569501715315123E9
344,3.741496340939652E8,0,1.632142812013626E-7,443,2.2517255565627604E9
343,3.782052154261174E8,0,1.632142812013626E-7,434,2.217931864506183E9
345,3.763244196051162E8,0,1.632142812013626E-7,440,2.2414453615979867E9
347,3.7745772690906405E8,0,1.632142812013626E-7,446,2.252905712214367E9
344,3.744682881767792E8,0,1.632142812013626E-7,442,2.240345194617702E9
341,3.7267550284002244E8,0,1.632142812013626E-7,438,2.233047392061514E9
341,3.7650393545549E8,0,1.632142812013626E-7,432,2.2209156640323906E9
338,3.777545474383669E8,0,1.632142812013626E-7,426,2.2316287714319077E9
333,3.7623588894761294E8,0,1.632142812013626E-7,420,2.23661757169236E9
330,3.7772875595483977E8,0,1.632142812013626E-7,415,2.239111748842382E9
323,3.750046739297893E8,0,1.632142812013626E-7,411,2.2396490064000564E9
319,3.7265073086223006E8,0,1.632142812013626E-7,404,2.223571831365567E9
316,3.7264401559240144E8,0,1.632142812013626E-7,398,2.2312310337261868E9
309,3.679430297574665E8,0,1.632142812013626E-7,396,2.2311280597835793E9
306,3.6770486692328566E8,0,1.632142812013626E-7,393,2.2358476104327044E9
301,3.6410459566562116E8,0,1.632142812013626E-7,386,2.2179363203409677E9
298,3.648317687337821E8,0,1.632142812013626E-7,380,2.1990732198433194E9
295,3.675661959351042E8,0,1.632142812013626E-7,375,2.1742235557224474E9
294,3.714977965977766E8,0,1.632142812013626E-7,370,2.173163015880401E9
288,3.6983247826265186E8,0,1.632142812013626E-7,367,2.167610896373373E9
289,3.679817318139587E8,0,1.632142812013626E-7,370,2.1347159661214552E9
286,3.6812277057391334E8,0,1.632142812013626E-7,362,2.079018670857032E9
282,3.639861405323377E8,0,1.632142812013626E-7,356,2.0823566508366637E9
279,3.6375642915864205E8,0,1.632142812013626E-7,353,2.0998892385892427E9
277,3.642931633798509E8,0,1.632142812013626E-7,347,2.1095322094656146E9
273,3.6368189583737415E8,0,1.632142812013626E-7,340,2.1230543074183292E9
268,3.63729643822806E8,0,1.632142812013626E-7,335,2.1030485362776692E9
267,3.669002047232435E8,0,1.632142812013626E-7,328,2.0946322800580773E9
264,3.668929650509645E8,0,1.632142812013626E-7,323,2.0915228371656797E9
263,3.6930946069360036E8,0,1.632142812013626E-7,318,2.0790819523098552E9
260,3.675598037231926E8,0,1.632142812013626E-7,313,2.0620708133474493E9
256,3.668520876494083E8,0,1.632142812013626E-7,308,2.0588918588473852E9
253,3.665433721419288E8,0,1.632142812013626E-7,303,2.0103787488766093E9
250,3.6576513579459465E8,0,1.632142812013626E-7,299,1.975569743155143E9
248,3.6441924981814444E8,0,1.632142812013626E-7,291,1.9312764828929641E9
245,3.625381972078281E8,0,1.632142812013626E-7,289,1.9509143262871435E9
244,3.6504461917133707E8,0,1.632142812013626E-7,287,1.9389047192332623E9
242,3.646633047190805E8,0,1.632142812013626E-7,286,1.94215428496542E9
241,3.652486935952703E8,0,1.632142812013626E-7,283,1.9321559999166062E9
239,3.661799160686187E8,0,1.632142812013626E-7,278,1.9423639139671586E9
238,3.6823567901343995E8,0,1.632142812013626E-7,275,1.9570186594920912E9
237,3.6975690452299935E8,0,1.632142812013626E-7,273,1.9619705133663893E9
233,3.67605613145004E8,0,1.632142812013626E-7,269,1.9713836430611963E9
229,3.640639406288872E8,0,1.632142812013626E-7,264,1.9750656772249386E9
226,3.6206787796343374E8,0,1.632142812013626E-7,260,1.959643905921871E9
226,3.6510483844357336E8,0,1.632142812013626E-7,258,1.9806310923207195E9
225,3.661854577377524E8,0,1.632142812013626E-7,251,1.9464148271013062E9
224,3.659337781662992E8,0,1.632142812013626E-7,249,1.967579655863071E9
223,3.6849681021021885E8,0,1.632142812013626E-7,247,1.9855837097976692E9
220,3.6733574544609904E8,0,1.632142812013626E-7,246,2.0033104416845639E9
215,3.647707899122251E8,0,1.632142812013626E-7,243,1.9692030421458578E9
212,3.6316935581897837E8,0,1.632142812013626E-7,238,1.917705012620081E9
