Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
1079,7.845829523687876E8,259,2.5625149860260078E8,2321,1.130554772402508E10
1089,7.89779110012022E8,263,2.5833885331253633E8,2340,1.1265559881836409E10
1098,7.949729756651573E8,263,2.5329300619970575E8,2363,1.1257133998672462E10
1110,8.00225485146825E8,263,2.5177985346102694E8,2385,1.1280180072719315E10
1110,8.053702470319244E8,262,2.5062414612898624E8,2385,1.1335033837751984E10
1119,8.106208121032078E8,262,2.526953672864068E8,2411,1.1359601791713617E10
1124,8.158407059530904E8,268,2.512681585598854E8,2434,1.1322373112712755E10
1130,8.211553386975805E8,273,2.534112276862043E8,2459,1.1316344066776464E10
1141,8.266758773669657E8,274,2.555542644328471E8,2485,1.1342307750167576E10
1151,8.286314331137398E8,275,2.541327199017839E8,2508,1.1337632438933348E10
1166,8.306944397083489E8,279,2.5632764294164184E8,2524,1.130232548718715E10
1181,8.36346911807862E8,285,2.5857791552269244E8,2538,1.1267430978333258E10
1191,8.384208575779276E8,289,2.6083184520588434E8,2563,1.1326824728857143E10
1200,8.372513537143927E8,290,2.630475863832341E8,2590,1.1355985285970556E10
1208,8.4295101380476E8,293,2.652849765241828E8,2619,1.1385428686036997E10
1218,8.416519529288133E8,297,2.6755684936572808E8,2642,1.1415090501144403E10
1233,8.474714277352494E8,303,2.698566838787791E8,2662,1.1445137112891176E10
1238,8.415316081920087E8,310,2.7217638290539634E8,2682,1.138289567230409E10
1237,8.437597453433127E8,310,2.7440758388827556E8,2679,1.1351854725667757E10
1245,8.496585896944366E8,312,2.766709684345901E8,2708,1.132205548881102E10
1259,8.521174462631943E8,315,2.7896284904996645E8,2733,1.1385744596641544E10
1266,8.580584051306899E8,317,2.81390627286772E8,2765,1.1388307917572035E10
1275,8.568970770026695E8,322,2.8386069625937617E8,2789,1.1390867548747915E10
1291,8.630075929170891E8,326,2.863210406586351E8,2812,1.1425210649087303E10
1300,8.690921006905959E8,330,2.888030807881731E8,2840,1.1398541330527554E10
1314,8.752392293299435E8,333,2.912763444623266E8,2867,1.1434321247761501E10
1324,8.743296299088439E8,335,2.937389076482195E8,2895,1.144011038567895E10
1334,8.769822437763429E8,339,2.9623068557599556E8,2923,1.1415476724315111E10
1346,8.832260653365229E8,340,2.9512844891021574E8,2955,1.1484393891909761E10
1353,8.859811975250832E8,342,2.97627473427162E8,2991,1.1554169254314676E10
1362,8.922204147248198E8,343,2.96903182710273E8,3026,1.1593145662423506E10
1373,8.950391496837907E8,350,2.9948757097300273E8,3050,1.1539490622143486E10
1371,8.976456428036654E8,350,3.0198969669865906E8,3048,1.1547675420424782E10
1387,9.039611548132095E8,354,3.0455255239498174E8,3070,1.1557228924330057E10
1403,9.103685449026439E8,357,3.071050118737188E8,3097,1.1598401502561619E10
1414,9.167503378566746E8,361,3.0609714077913696E8,3128,1.1609147961381603E10
1420,9.160851775817074E8,365,3.086849831819654E8,3162,1.1589236217697392E10
1438,9.20702459345226E8,367,3.112482689173923E8,3188,1.1569792274857512E10
1452,9.27283577626225E8,369,3.1411157671927637E8,3218,1.151986096022829E10
1475,9.339926039861643E8,369,3.134510300462888E8,3238,1.1470289327564945E10
1491,9.406338856458325E8,371,3.1640138268346107E8,3267,1.1421866378729988E10
1505,9.472748558254759E8,372,3.1936430339443046E8,3302,1.1467389524751587E10
1519,9.539526237770265E8,375,3.2236469805924696E8,3335,1.148305911005856E10
1534,9.606377310968933E8,377,3.253500535764184E8,3367,1.1468080764443342E10
1545,9.601889226332191E8,382,3.2838050909091985E8,3399,1.1453842483762022E10
1557,9.529038026651762E8,383,3.313566195017182E8,3430,1.1409289152317701E10
1578,9.597108862245281E8,385,3.344280633831198E8,3460,1.1489551973075876E10
1591,9.665092798444006E8,388,3.376202613750959E8,3494,1.1446643266926428E10
1604,9.732984756237954E8,390,3.3368312095782214E8,3530,1.1497107868517284E10
1617,9.801451338269912E8,394,3.3691114199468976E8,3568,1.1579457068810816E10
1617,9.868959440751122E8,394,3.4014761102178776E8,3566,1.1600202698722736E10
1637,9.938548637585938E8,393,3.3984239603503245E8,3600,1.1621399556632395E10
1653,1.0007497365978075E9,396,3.4314839197418416E8,3633,1.1612249916819904E10
1662,1.0040660695165081E9,401,3.4662973240648985E8,3668,1.1572643836004585E10
1684,1.0111168584704391E9,407,3.5015461805832464E8,3695,1.1596023304614489E10
1696,1.0113983625897111E9,409,3.501162841290325E8,3735,1.1682725174907595E10
1720,1.018545593778499E9,414,3.5365709318602186E8,3763,1.1708301923422407E10
1746,1.0257123928453616E9,418,3.5719054820197374E8,3788,1.1702989787562351E10
1765,1.0292302408082843E9,422,3.607207651163443E8,3823,1.1760448120974241E10
1779,1.0362519416159487E9,430,3.607438636379049E8,3858,1.181878732243696E10
1792,1.0397285017781962E9,434,3.607833220622813E8,3899,1.1908443882700829E10
1809,1.0468202311495878E9,439,3.643576562683413E8,3936,1.1967527560251379E10
1825,1.0503498873392112E9,444,3.679237805918077E8,3974,1.1995586872179495E10
1845,1.0574671144658667E9,448,3.7148035645054364E8,4009,1.2055083511712568E10
1861,1.0580068318108876E9,449,3.749915052994946E8,4053,1.2146328196628841E10
1877,1.0651746471826825E9,451,3.7492758033062917E8,4093,1.2113782718386839E10
1894,1.0723427139684907E9,458,3.749250251538318E8,4129,1.2143358724369211E10
1912,1.0764322935039053E9,460,3.75014739287268E8,4170,1.2204943059136305E10
1928,1.083746118499288E9,466,3.7881893556813985E8,4213,1.22672002104126E10
1946,1.087586202147307E9,473,3.7909201336370707E8,4250,1.2298540793846567E10
1970,1.0950455452143185E9,480,3.8297152187227154E8,4284,1.2361084951693789E10
1982,1.0988718536944342E9,487,3.869307465692488E8,4330,1.2424254282963764E10
2005,1.1063173959285853E9,491,3.908425627433112E8,4370,1.2487901379521275E10
2019,1.1136897445324564E9,496,3.912866646346556E8,4417,1.2582866346219255E10
2037,1.1175543144636188E9,502,3.9519869272885114E8,4460,1.2678332192970997E10
2058,1.121535473333649E9,509,3.9554782335068905E8,4497,1.2742709389345058E10
2056,1.1251013022309375E9,507,3.958433472654763E8,4496,1.2806631609706154E10
2069,1.1324276133413198E9,511,3.961708966922216E8,4548,1.2902360249206715E10
2088,1.136433348555858E9,515,4.000792064750543E8,4595,1.2967125585007198E10
2108,1.137246112887628E9,519,4.004089162425059E8,4637,1.3000858570670223E10
2122,1.1410492051057177E9,524,4.043191971832965E8,4685,1.3065639008421516E10
2145,1.1449925500198877E9,531,4.0828180696355027E8,4725,1.3130804975992907E10
2165,1.1489140389189801E9,538,4.1224685304743004E8,4768,1.319641200699814E10
2189,1.15638996471223E9,544,4.1619011601111704E8,4811,1.323100700856497E10
2213,1.1638770345132039E9,544,4.130468292983748E8,4858,1.3296767559737328E10
2228,1.1678447731560402E9,545,4.169577184551435E8,4913,1.3332189355144081E10
2249,1.1753399314055011E9,550,4.2092070865274423E8,4962,1.3399071100149979E10
2264,1.1827627805968006E9,555,4.178446833777001E8,5016,1.3435524696494085E10
2286,1.1902450566415205E9,556,4.1817086759852237E8,5071,1.353406459675484E10
2306,1.1945534194171994E9,561,4.185583640119776E8,5122,1.36017005982505E10
