Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
202,4.1604796148685503E8,27,7.676263444766088E7,443,8.401099825523168E9
203,4.176609431053958E8,27,7.694738979213119E7,448,8.431029211765647E9
203,4.192497535145582E8,27,7.713033275541937E7,448,8.460552036916892E9
203,4.208249344811168E8,27,7.731149840517838E7,447,8.470946632334263E9
203,4.208405808567279E8,27,7.731329661024612E7,447,8.471234474803604E9
203,4.22054396710341E8,27,7.745285405849004E7,447,8.493566654048068E9
206,4.2363842860328364E8,28,7.764437551864412E7,449,8.522010993245018E9
206,4.251783300402437E8,28,7.782276793708795E7,448,8.52790119364317E9
206,4.2519362824472487E8,28,7.782454005281687E7,446,8.481622656527047E9
206,4.2520890649971E8,28,7.782631477981117E7,445,8.451205231708001E9
206,4.2522418926114213E8,28,7.78280893598859E7,445,8.451481736839018E9
206,4.2676199004274076E8,28,7.800524527285306E7,445,8.479247117644122E9
206,4.2828877366115487E8,28,7.818105414612925E7,445,8.506698393432447E9
209,4.2983604544213116E8,28,7.835545990286508E7,448,8.533859849913738E9
209,4.3134022017708385E8,28,7.852849962834206E7,448,8.560679081990493E9
209,4.3135516682537E8,28,7.85302191297099E7,447,8.540802803883973E9
208,4.310740801737619E8,27,7.510985951038566E7,446,8.512141063697054E9
208,4.3108899599184483E8,27,7.511155812867953E7,446,8.512406459089903E9
208,4.325860197603295E8,27,7.52811779374234E7,444,8.49076998031505E9
212,4.3264521382742745E8,27,7.528286445090348E7,446,8.491052930951708E9
210,4.280064886206231E8,27,7.545120525691795E7,446,8.517218987139108E9
210,4.280213010043887E8,27,7.545287917949374E7,446,8.517478795565E9
209,4.2849398904186404E8,27,7.561997393547945E7,445,8.53260821355049E9
209,4.285086672417938E8,27,7.562163558916968E7,445,8.532864189836346E9
206,4.238368740783009E8,27,7.562329638253865E7,444,8.529179805853891E9
206,4.23851462680154E8,27,7.562495705637373E7,443,8.500563938529842E9
